Date,Start_Hour,End_Hour,Day_of_Year,Production,Temperature_C,Humidity_Percent,Precipitation_mm,WindSpeed_kmh,Source_Wind,Season_Spring,Season_Summer,Season_Winter,Day_Name_Monday,Day_Name_Saturday,Day_Name_Sunday,Day_Name_Thursday,Day_Name_Tuesday,Day_Name_Wednesday,Month_Name_August,Month_Name_December,Month_Name_February,Month_Name_January,Month_Name_July,Month_Name_June,Month_Name_March,Month_Name_May,Month_Name_November,Month_Name_October,Month_Name_September,Rainfall_Flag_Yes
2025-11-30,21,22,334,5281,11.8,72,0.0,5.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,18,19,334,3824,13.5,67,0.0,7.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,16,17,334,3824,17.3,50,0.0,5.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,23,0,334,6120,10.4,69,0.0,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,6,7,334,4387,8.2,62,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,4,5,334,4231,8.7,71,0.0,2.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,5,6,334,4365,8.3,69,0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,8,9,334,4801,9.6,54,0.0,3.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,12,13,334,7737,18.4,38,0.0,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,15,16,334,5584,19.1,40,0.0,4.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,22,23,334,5664,11.1,70,0.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,0,1,334,5167,10.5,64,0.0,3.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,1,2,334,5081,9.8,66,0.0,4.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,2,3,334,4986,9.4,69,0.0,3.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,11,12,334,6787,16.8,39,0.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,17,18,334,3539,14.6,60,0.0,6.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,19,20,334,4186,12.4,73,0.0,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,10,11,334,5462,14.8,42,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,3,4,334,4737,9.1,71,0.0,3.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,20,21,334,4614,11.8,75,0.0,5.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,14,15,334,7009,19.6,38,0.0,3.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,13,14,334,7474,19.3,37,0.0,2.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,9,10,334,5092,12.0,49,0.0,3.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-30,7,8,334,4625,8.4,57,0.0,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,15,16,333,12804,19.6,43,0.0,4.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,10,11,333,14587,14.6,48,0.0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,11,12,333,15598,16.6,44,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,7,8,333,9125,8.4,59,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,17,18,333,10589,14.8,64,0.0,4.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,13,14,333,16096,19.7,39,0.0,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,8,9,333,10315,9.9,57,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,18,19,333,10196,13.8,71,0.0,4.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,6,7,333,8070,8.4,62,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,20,21,333,8023,12.3,75,0.0,3.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,21,22,333,7062,11.8,72,0.0,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,23,0,333,5416,11.7,59,0.0,6.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,22,23,333,5630,11.6,67,0.0,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,4,5,333,6647,8.7,60,0.0,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,3,4,333,6318,8.9,61,0.0,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,2,3,333,5848,9.2,61,0.0,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,0,1,333,5241,10.2,64,0.0,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,9,10,333,12529,12.2,53,0.0,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,5,6,333,7171,8.1,68,0.0,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,14,15,333,14710,19.9,39,0.0,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,1,2,333,5553,9.5,64,0.0,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,16,17,333,11203,17.7,56,0.0,3.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,19,20,333,9233,12.7,77,0.0,4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-29,12,13,333,16180,18.6,42,0.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,10,11,332,9362,14.8,47,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,2,3,332,8628,9.2,67,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,12,13,332,10113,18.4,41,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,21,22,332,6545,11.7,72,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,19,20,332,6619,12.7,78,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,20,21,332,6643,11.8,78,0.0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,18,19,332,6774,13.9,72,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,13,14,332,9783,19.2,40,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,9,10,332,8549,12.6,52,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,5,6,332,7907,8.5,69,0.0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,3,4,332,8373,8.9,70,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,22,23,332,6151,11.3,68,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,23,0,332,5812,11.1,62,0.0,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,15,16,332,7931,19.1,45,0.0,4.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,17,18,332,6838,15.1,65,0.0,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,6,7,332,7716,8.2,69,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,8,9,332,7905,9.9,61,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,7,8,332,7806,8.1,65,0.0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,0,1,332,9302,9.9,67,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,1,2,332,9032,9.5,65,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,4,5,332,8122,8.7,71,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,11,12,332,10097,16.6,44,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,14,15,332,8799,19.5,42,0.0,4.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-28,16,17,332,7122,17.5,56,0.0,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,3,4,331,6493,9.3,73,0.0,3.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,1,2,331,5305,9.5,75,0.0,2.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,21,22,331,9444,11.1,76,0.0,3.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,14,15,331,11395,19.1,42,0.0,6.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,22,23,331,9060,10.8,72,0.0,2.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,7,8,331,7884,8.2,70,0.0,3.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,23,0,331,9223,11.3,64,0.0,2.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,6,7,331,7436,8.6,71,0.0,4.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,4,5,331,6967,9.0,74,0.0,4.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,16,17,331,8367,17.0,56,0.0,4.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,13,14,331,12195,19.0,44,0.0,5.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,11,12,331,12038,16.6,51,0.0,3.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-11-27,5,6,331,7266,9.3,72,0.0,5.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
