Feature,Coefficient
Season_Winter,2640.3399562434734
Month_Name_March,2091.1255701880373
Month_Name_September,-2014.784490504317
Season_Summer,-1919.4348276929447
Month_Name_May,-1658.9068639561744
Month_Name_January,1524.4578814905076
Month_Name_February,1503.5093204725897
Source_Wind,1190.9088238501618
Month_Name_June,-1170.8708859418184
Month_Name_November,1124.299922923507
Rainfall_Flag_Yes,1100.3216396764785
Month_Name_August,-500.0160269918633
Season_Spring,440.10081380591294
Month_Name_December,-387.62724571895177
Month_Name_October,-270.52137477570193
Month_Name_July,-248.54791475965698
Temperature_C,205.47677192531393
Day_Name_Wednesday,-134.14560662036874
Day_Name_Monday,130.71193122432945
Day_Name_Thursday,-42.938797549552255
Day_Name_Saturday,-41.9886407245093
Day_Name_Tuesday,33.95446273624323
End_Hour,31.144867508735345
Day_Name_Sunday,18.711157127053806
WindSpeed_kmh,14.639399694524508
Humidity_Percent,-10.888684979640464
Start_Hour,-6.905466958950856
Day_of_Year,6.229483210506033
Precipitation_mm,-1.9823737152085077
