Feature,Coefficient
Season_Winter,2701.701763982285
Month_Name_March,2066.761504165037
Month_Name_September,-2031.446236615463
Season_Summer,-1879.5970842015663
Month_Name_May,-1660.3842097870431
Month_Name_January,1580.393587396014
Month_Name_February,1554.5757960691496
Source_Wind,1249.3124831646967
Rainfall_Flag_Yes,1137.4665468641979
Month_Name_June,-1083.9949040106158
Month_Name_November,990.7473274421704
Season_Spring,556.125523106604
Month_Name_August,-542.1181126407437
Year,438.7980135065501
Month_Name_December,-433.26761948288987
Month_Name_October,-337.53129371317357
Month_Name_July,-253.48406755030425
Temperature_C,199.86490729263176
Day_Name_Monday,141.4624496208886
Day_Name_Wednesday,-131.90739812221452
Day_Name_Thursday,-43.17093042788874
Day_Name_Saturday,-40.38925079564622
Day_Name_Tuesday,37.32902080806861
End_Hour,32.850679956306706
Precipitation_mm,-31.37548243969041
WindSpeed_kmh,26.781140064830904
Day_Name_Sunday,21.702058079505058
Humidity_Percent,-9.245449124135888
Day_of_Year,7.2295278194002375
Start_Hour,-6.455972348615426
